1;12;1;3;14;2147483647;5;1;8;3;0;0;1;1;2147483647;1;1;2;0;3;1;0;0;2147483647;2;15;2;1;0;2147483647;0;1;4;1;0;4;15;0;2;1;0;16;0;1;1;3;1;1;1;1;0;0;1;1;0;1;2147483647;0;3;0;0;0;0;2147483647;2;1;0;0;1;1;0;15;0;2;1;0;3;2;1;4;0;1;0;4;11;0;1;0;2147483647;1;2147483647;0;0;1;4;15;0;0;0;0;0;0;1;0;2;3;0;2147483647
2147483647;12;1;4;13;2147483647;4;2147483647;12;3;1;0;0;2147483647;2147483647;1;1;3;2147483647;3;1;0;0;2147483647;1;15;0;0;2147483647;2147483647;0;3;4;2147483647;0;0;16;2147483647;3;0;0;16;2147483647;1;2147483647;3;0;2147483647;2;1;0;0;1;2147483647;1;1;2147483647;2147483647;4;0;0;0;0;2147483647;3;1;1;0;0;1;0;15;2147483647;2;1;0;4;2;2147483647;0;0;1;0;4;12;0;0;0;0;0;2147483647;0;2147483647;2147483647;4;16;1;0;0;0;2147483647;0;0;0;1;3;2147483647;0
1;12;1;3;15;1;7;1;4;2;0;0;1;1;1;1;0;2;0;3;1;0;0;2147483647;3;15;3;1;0;1;0;0;4;0;0;8;13;0;1;2;1;16;0;0;1;3;2;1;0;1;0;0;1;2147483647;0;1;2147483647;0;2;0;0;0;0;0;1;1;0;0;1;2;1;15;0;2;1;0;2;1;1;4;0;1;0;3;9;0;2147483647;0;2147483647;2;2147483647;1;0;2147483647;4;14;0;2147483647;2;1;0;0;3;0;3;2;0;2147483647
1;12;2147483647;3;13;2147483647;5;2147483647;12;4;0;0;0;1;2147483647;1;1;3;2147483647;3;2147483647;0;0;2147483647;1;16;2;1;0;2147483647;0;2;0;1;0;4;15;2147483647;3;1;0;16;1;0;1;4;0;1;2;1;0;0;1;1;1;0;2147483647;0;3;1;0;0;0;2147483647;3;0;0;2147483647;0;2;1;15;0;1;1;0;3;2;2147483647;4;0;1;0;4;11;1;0;1;0;1;2147483647;0;2147483647;1;4;15;1;0;0;0;0;0;1;0;2;3;0;2147483647
1;12;2147483647;3;14;1;7;2147483647;8;3;0;0;1;1;2147483647;1;0;3;0;3;2147483647;0;0;2147483647;2;16;3;1;1;2147483647;0;1;0;0;0;8;13;0;2;2;1;16;0;0;1;4;2;2;1;1;0;0;1;3;0;0;2147483647;2147483647;2;0;0;0;0;0;2;0;0;2147483647;1;2;1;15;0;1;1;0;2;2;1;4;0;1;0;3;9;1;2;1;2147483647;2;2147483647;0;0;2147483647;4;14;0;0;0;0;1;0;3;0;3;3;2147483647;2147483647
1;12;2147483647;3;14;0;7;2147483647;8;3;0;0;0;0;2147483647;1;0;3;2147483647;3;2147483647;0;1;2147483647;2;16;3;1;1;2147483647;0;1;0;0;0;8;13;1;2;1;1;16;1;0;1;4;0;2;2;0;2147483647;0;0;3;1;0;0;2147483647;3;0;0;0;2;0;3;0;0;2147483647;0;3;2;15;0;1;1;1;2;1;0;4;2147483647;1;0;3;9;1;0;1;0;2;2147483647;0;2147483647;2147483647;4;14;1;0;0;0;1;0;3;0;2;2;2147483647;2147483647
1;12;1;3;15;0;7;1;4;2;0;0;0;0;1;1;0;2;2147483647;3;1;0;1;2147483647;3;15;3;1;0;1;0;0;4;0;0;8;13;1;1;1;1;16;1;0;1;3;0;1;1;0;2;1;0;2147483647;1;1;0;0;3;0;0;0;2;0;2;1;0;0;0;3;2;15;0;2;1;1;2;0;0;4;2147483647;1;0;3;9;0;0;0;0;2;2147483647;1;2147483647;2147483647;4;14;1;2147483647;2;0;0;0;3;0;2;1;0;2147483647
1;12;1;3;14;2147483647;5;1;8;3;0;0;0;1;2147483647;0;1;2;2147483647;3;0;0;1;0;2;15;2;1;0;2147483647;0;1;4;1;0;4;15;2147483647;2;1;0;16;1;0;1;3;2147483647;1;2;0;2147483647;0;1;1;1;1;2147483647;0;3;0;0;1;2147483647;2147483647;3;0;0;0;1;2;1;15;0;1;1;0;3;2;2147483647;4;2147483647;1;0;4;11;1;2147483647;0;2147483647;1;2147483647;0;2147483647;1;4;15;0;0;0;0;0;0;1;0;2;3;0;2147483647
1;12;1;3;14;2147483647;5;1;8;3;0;0;0;1;2147483647;0;1;2;2147483647;3;0;0;1;0;2;15;2;1;0;2147483647;0;1;4;1;0;4;15;2147483647;2;1;0;16;1;0;1;3;2147483647;1;2;0;2147483647;0;1;1;1;1;2147483647;0;3;0;0;1;2147483647;2147483647;3;0;0;0;1;2;1;15;0;1;1;0;3;2;2147483647;4;2147483647;1;0;4;11;1;2147483647;0;2147483647;1;2147483647;0;2147483647;1;4;15;0;0;0;0;0;0;1;0;2;3;0;2147483647
1;12;2147483647;3;14;1;7;2147483647;8;3;0;0;1;1;2147483647;1;0;3;0;3;2147483647;0;0;2147483647;2;16;3;1;1;2147483647;0;1;0;0;0;8;13;0;2;2;1;16;0;0;1;4;2;2;1;1;0;0;1;3;0;0;2147483647;2147483647;2;0;0;0;0;0;2;0;0;2147483647;1;2;1;15;0;1;1;0;2;2;1;4;0;1;0;3;9;1;2;1;2147483647;2;2147483647;0;0;2147483647;4;14;0;0;0;0;1;0;3;0;3;3;2147483647;2147483647
1;12;2147483647;3;13;2147483647;5;2147483647;12;4;0;0;0;1;2147483647;1;1;3;2147483647;3;2147483647;0;0;2147483647;1;16;2;1;0;2147483647;0;2;0;1;0;4;15;2147483647;3;1;0;16;1;0;1;4;0;1;2;1;0;0;1;1;1;0;2147483647;0;3;1;0;0;0;2147483647;3;0;0;2147483647;0;2;1;15;0;1;1;0;3;2;2147483647;4;0;1;0;4;11;1;0;1;0;1;2147483647;0;2147483647;1;4;15;1;0;0;0;0;0;1;0;2;3;0;2147483647
2;12;2147483647;2;14;0;6;2147483647;8;4;0;1;0;0;2;1;1;2;2147483647;3;2147483647;0;1;2147483647;2;16;4;2;0;2147483647;0;0;0;1;0;8;14;1;2;1;0;16;1;0;1;4;0;2;2;0;2147483647;0;0;2;1;0;0;0;3;1;0;0;1;2147483647;3;0;0;2147483647;0;3;2;15;0;1;1;1;2;1;0;4;2147483647;1;0;4;10;1;0;1;0;2;2147483647;1;2147483647;2147483647;4;14;1;2147483647;1;0;0;0;2;0;2;2;0;2147483647
1;12;2147483647;3;15;0;10;2147483647;4;2;0;1;0;0;1;1;0;3;2147483647;3;2147483647;0;1;2147483647;3;16;4;1;0;1;0;0;0;0;0;12;10;1;1;2;2;16;1;0;1;4;0;1;1;0;3;1;0;2147483647;1;0;0;0;2;0;0;0;3;0;2;0;0;2147483647;0;4;3;15;0;1;1;1;1;0;0;4;2147483647;1;0;2;6;1;0;1;0;3;2147483647;1;2147483647;2147483647;4;13;1;2147483647;3;0;0;0;6;1;3;1;0;2147483647
1;12;1;3;14;2147483647;5;1;8;3;0;0;0;1;2147483647;1;1;2;2147483647;3;1;0;0;2147483647;2;15;2;1;0;2147483647;0;1;4;1;0;4;15;2147483647;2;1;0;16;1;0;1;3;0;1;1;1;0;0;1;1;1;1;2147483647;0;3;0;0;0;0;2147483647;2;1;0;0;0;2;1;15;0;2;1;0;3;1;2147483647;4;0;1;0;4;11;0;0;0;0;1;2147483647;0;2147483647;1;4;15;1;0;0;0;0;0;1;0;2;2;0;2147483647
1;12;2147483647;3;14;1;7;2147483647;8;3;0;0;1;1;2147483647;1;0;3;0;3;2147483647;0;0;2147483647;2;16;3;1;1;2147483647;0;1;0;0;0;8;13;0;2;2;1;16;0;0;1;4;2;2;1;1;0;0;1;3;0;0;2147483647;2147483647;2;0;0;0;0;0;2;0;0;2147483647;1;2;1;15;0;1;1;0;2;2;1;4;0;1;0;3;9;1;2;1;2147483647;2;2147483647;0;0;2147483647;4;14;0;0;0;0;1;0;3;0;3;3;2147483647;2147483647
1;12;2147483647;3;14;0;7;2147483647;8;3;0;0;1;0;2147483647;1;0;3;0;3;2147483647;0;1;2147483647;2;16;3;1;1;2147483647;0;1;0;0;0;8;13;0;2;1;1;16;0;0;1;4;1;2;2;0;2147483647;0;0;3;0;0;0;2147483647;3;0;0;0;1;0;3;0;0;2147483647;1;2;1;15;0;1;1;1;2;2;0;4;2147483647;1;0;3;9;1;1;1;2147483647;2;2147483647;0;0;2147483647;4;14;0;0;0;0;1;0;3;0;2;3;2147483647;2147483647
1;12;2147483647;3;15;0;10;2147483647;4;2;0;1;1;0;1;1;0;3;0;3;2147483647;0;1;2147483647;3;16;4;1;0;1;0;0;0;0;0;12;10;0;1;2;2;16;0;0;1;4;2;1;1;0;1;0;0;2147483647;0;0;0;0;2;0;0;0;1;0;2;0;0;2147483647;1;3;2;15;0;1;1;1;1;1;0;4;2147483647;1;0;2;6;1;2147483647;1;2147483647;3;2147483647;1;0;2147483647;4;13;0;2147483647;3;0;0;0;6;0;3;2;0;2147483647
1;12;1;3;14;0;5;1;8;3;1;0;0;0;2147483647;1;1;2;2147483647;3;1;0;1;2147483647;2;15;2;1;0;2147483647;0;1;4;1;0;4;15;1;2;0;0;16;1;0;1;3;0;1;2;0;2147483647;0;0;1;1;1;0;0;4;0;0;0;1;2147483647;3;1;0;0;0;2;1;15;0;2;1;1;3;1;0;4;2147483647;1;0;4;11;0;0;0;0;1;2147483647;0;1;1;4;15;1;0;0;0;0;0;1;0;1;2;0;2147483647
2147483647;12;1;4;13;2147483647;4;2147483647;12;3;1;0;0;2147483647;2147483647;0;1;3;2147483647;3;0;1;1;0;1;15;0;0;2147483647;2147483647;1;3;4;2147483647;0;0;16;2147483647;3;0;0;16;2147483647;1;2147483647;3;2147483647;2147483647;3;0;2147483647;0;1;2147483647;1;1;2147483647;2147483647;4;0;0;1;2147483647;2147483647;4;0;1;0;1;1;0;15;2147483647;1;1;0;4;3;2147483647;0;2147483647;1;0;4;12;1;2147483647;0;2147483647;0;2147483647;0;2147483647;2147483647;4;16;0;0;0;0;2147483647;0;0;0;1;4;2147483647;0
2147483647;12;2147483647;4;12;2147483647;4;2147483647;16;4;1;0;0;2147483647;2147483647;1;1;4;2147483647;3;2147483647;1;0;2147483647;0;16;0;0;2147483647;2147483647;1;4;0;2147483647;1;0;16;2147483647;4;0;0;16;2147483647;1;2147483647;4;0;2147483647;3;1;0;0;1;2147483647;1;0;2147483647;2147483647;4;1;0;0;0;2147483647;4;0;1;2147483647;0;1;0;15;2147483647;1;0;0;4;3;2147483647;0;0;1;0;4;12;1;0;1;0;0;2147483647;0;2147483647;2147483647;4;16;1;0;0;0;2147483647;4;0;0;1;4;2147483647;0
1;12;2147483647;3;15;0;10;2147483647;4;2;0;1;1;0;1;1;0;3;0;3;2147483647;0;1;2147483647;3;16;4;1;0;1;0;0;0;0;0;12;10;0;1;2;2;16;0;0;1;4;2;1;1;0;1;0;0;2147483647;0;0;0;0;2;0;0;0;1;0;2;0;0;2147483647;1;3;2;15;0;1;1;1;1;1;0;4;2147483647;1;0;2;6;1;2147483647;1;2147483647;3;2147483647;1;0;2147483647;4;13;0;2147483647;3;0;0;0;6;0;3;2;0;2147483647
1;12;1;3;14;2147483647;5;1;8;3;0;0;1;1;2147483647;1;1;2;0;3;1;0;0;2147483647;2;15;2;1;0;2147483647;0;1;4;1;0;4;15;0;2;1;0;16;0;1;1;3;1;1;1;1;0;0;1;1;0;1;2147483647;0;3;0;0;0;0;2147483647;2;1;0;0;1;1;0;15;0;2;1;0;3;2;1;4;0;1;0;4;11;0;1;0;2147483647;1;2147483647;0;0;1;4;15;0;0;0;0;0;0;1;0;2;3;0;2147483647
1;12;1;3;15;0;7;1;4;2;0;0;0;0;1;1;0;2;2147483647;3;1;0;1;2147483647;3;15;3;1;0;1;0;0;4;0;0;8;13;1;1;1;1;16;1;0;1;3;0;1;1;0;2;1;0;2147483647;1;1;0;0;3;0;0;0;2;0;2;1;0;0;0;3;2;15;0;2;1;1;2;0;0;4;2147483647;1;0;3;9;0;0;0;0;2;2147483647;1;2147483647;2147483647;4;14;1;2147483647;2;0;0;0;3;0;2;1;0;2147483647
1;12;1;3;14;2147483647;5;1;8;3;0;0;1;1;2147483647;1;1;2;0;3;1;0;0;2147483647;2;15;2;1;0;2147483647;0;1;4;1;0;4;15;0;2;1;0;16;0;1;1;3;1;1;1;1;0;0;1;1;0;1;2147483647;0;3;0;0;0;0;2147483647;2;1;0;0;1;1;0;15;0;2;1;0;3;2;1;4;0;1;0;4;11;0;1;0;2147483647;1;2147483647;0;0;1;4;15;0;0;0;0;0;0;1;0;2;3;0;2147483647
1;12;2147483647;3;13;2147483647;5;2147483647;12;4;0;0;0;1;2147483647;1;1;3;2147483647;3;2147483647;0;0;2147483647;1;16;2;1;0;2147483647;0;2;0;1;0;4;15;2147483647;3;1;0;16;1;0;1;4;0;1;2;1;0;0;1;1;1;0;2147483647;0;3;1;0;0;0;2147483647;3;0;0;2147483647;0;2;1;15;0;1;1;0;3;2;2147483647;4;0;1;0;4;11;1;0;1;0;1;2147483647;0;2147483647;1;4;15;1;0;0;0;0;0;1;0;2;3;0;2147483647
2147483647;12;1;4;13;2147483647;4;2147483647;12;3;1;0;0;2147483647;2147483647;1;1;3;2147483647;3;1;0;0;2147483647;1;15;0;0;2147483647;2147483647;0;3;4;2147483647;0;0;16;2147483647;3;0;0;16;2147483647;1;2147483647;3;0;2147483647;2;1;0;0;1;2147483647;1;1;2147483647;2147483647;4;0;0;0;0;2147483647;3;1;1;0;0;1;0;15;2147483647;2;1;0;4;2;2147483647;0;0;1;0;4;12;0;0;0;0;0;2147483647;0;2147483647;2147483647;4;16;1;0;0;0;2147483647;0;0;0;1;3;2147483647;0
1;12;2147483647;3;14;0;7;2147483647;8;3;0;0;1;0;2147483647;1;0;3;0;3;2147483647;0;1;2147483647;2;16;3;1;1;2147483647;0;1;0;0;0;8;13;0;2;1;1;16;0;0;1;4;1;2;2;0;2147483647;0;0;3;0;0;0;2147483647;3;0;0;0;1;0;3;0;0;2147483647;1;2;1;15;0;1;1;1;2;2;0;4;2147483647;1;0;3;9;1;1;1;2147483647;2;2147483647;0;0;2147483647;4;14;0;0;0;0;1;0;3;0;2;3;2147483647;2147483647
2147483647;12;1;4;13;2147483647;4;2147483647;12;3;1;0;0;2147483647;2147483647;1;1;3;2147483647;3;1;0;0;2147483647;1;15;0;0;2147483647;2147483647;0;3;4;2147483647;0;0;16;2147483647;3;0;0;16;2147483647;1;2147483647;3;0;2147483647;2;1;0;0;1;2147483647;1;1;2147483647;2147483647;4;0;0;0;0;2147483647;3;1;1;0;0;1;0;15;2147483647;2;1;0;4;2;2147483647;0;0;1;0;4;12;0;0;0;0;0;2147483647;0;2147483647;2147483647;4;16;1;0;0;0;2147483647;0;0;0;1;3;2147483647;0
2;12;2147483647;2;14;0;6;2147483647;8;4;0;1;0;0;2;1;1;2;2147483647;3;2147483647;0;1;2147483647;2;16;4;2;0;2147483647;0;0;0;1;0;8;14;1;2;1;0;16;1;0;1;4;0;2;2;0;2147483647;0;0;2;1;0;0;0;3;1;0;0;1;2147483647;3;0;0;2147483647;0;3;2;15;0;1;1;1;2;1;0;4;2147483647;1;0;4;10;1;0;1;0;2;2147483647;1;2147483647;2147483647;4;14;1;2147483647;1;0;0;0;2;0;2;2;0;2147483647
1;12;1;3;15;1;7;1;4;2;0;0;1;1;1;1;0;2;0;3;1;0;0;2147483647;3;15;3;1;0;1;0;0;4;0;0;8;13;0;1;2;1;16;0;0;1;3;2;1;0;1;0;0;1;2147483647;0;1;2147483647;0;2;0;0;0;0;0;1;1;0;0;1;2;1;15;0;2;1;0;2;1;1;4;0;1;0;3;9;0;2147483647;0;2147483647;2;2147483647;1;0;2147483647;4;14;0;2147483647;2;1;0;0;3;0;3;2;0;2147483647
1;12;2147483647;3;14;1;7;2147483647;8;3;0;0;1;1;2147483647;1;0;3;0;3;2147483647;0;0;2147483647;2;16;3;1;1;2147483647;0;1;0;0;0;8;13;0;2;2;1;16;0;0;1;4;2;2;1;1;0;0;1;3;0;0;2147483647;2147483647;2;0;0;0;0;0;2;0;0;2147483647;1;2;1;15;0;1;1;0;2;2;1;4;0;1;0;3;9;1;2;1;2147483647;2;2147483647;0;0;2147483647;4;14;0;0;0;0;1;0;3;0;3;3;2147483647;2147483647
1;12;2147483647;3;15;0;10;2147483647;4;2;0;1;1;0;1;1;0;3;0;3;2147483647;0;1;2147483647;3;16;4;1;0;1;0;0;0;0;0;12;10;0;1;2;2;16;0;0;1;4;2;1;1;0;1;0;0;2147483647;0;0;0;0;2;0;0;0;1;0;2;0;0;2147483647;1;3;2;15;0;1;1;1;1;1;0;4;2147483647;1;0;2;6;1;2147483647;1;2147483647;3;2147483647;1;0;2147483647;4;13;0;2147483647;3;0;0;0;6;0;3;2;0;2147483647
1;12;2147483647;3;14;1;7;2147483647;8;3;0;0;1;1;2147483647;1;0;3;0;3;2147483647;0;0;2147483647;2;16;3;1;1;2147483647;0;1;0;0;0;8;13;0;2;2;1;16;0;0;1;4;2;2;1;1;0;0;1;3;0;0;2147483647;2147483647;2;0;0;0;0;0;2;0;0;2147483647;1;2;1;15;0;1;1;0;2;2;1;4;0;1;0;3;9;1;2;1;2147483647;2;2147483647;0;0;2147483647;4;14;0;0;0;0;1;0;3;0;3;3;2147483647;2147483647
1;12;2147483647;3;15;0;10;2147483647;4;2;0;1;1;0;1;1;0;3;0;3;2147483647;0;1;2147483647;3;16;4;1;0;1;0;0;0;0;0;12;10;0;1;2;2;16;0;0;1;4;2;1;1;0;1;0;0;2147483647;0;0;0;0;2;0;0;0;1;0;2;0;0;2147483647;1;3;2;15;0;1;1;1;1;1;0;4;2147483647;1;0;2;6;1;2147483647;1;2147483647;3;2147483647;1;0;2147483647;4;13;0;2147483647;3;0;0;0;6;0;3;2;0;2147483647
1;12;1;3;15;0;7;1;4;2;0;0;0;0;1;1;0;2;2147483647;3;1;0;1;2147483647;3;15;3;1;0;1;0;0;4;0;0;8;13;1;1;1;1;16;1;0;1;3;0;1;1;0;2;1;0;2147483647;1;1;0;0;3;0;0;0;2;0;2;1;0;0;0;3;2;15;0;2;1;1;2;0;0;4;2147483647;1;0;3;9;0;0;0;0;2;2147483647;1;2147483647;2147483647;4;14;1;2147483647;2;0;0;0;3;0;2;1;0;2147483647
1;12;2147483647;3;14;2147483647;7;2147483647;8;3;0;0;0;1;2147483647;1;0;3;2147483647;3;2147483647;0;0;2147483647;2;16;3;1;1;2147483647;0;1;0;0;0;8;13;2147483647;2;2;1;16;1;0;1;4;0;2;1;1;0;0;1;3;1;0;2147483647;2147483647;2;0;0;0;0;0;2;0;0;2147483647;0;3;2;15;0;1;1;0;2;1;2147483647;4;0;1;0;3;9;1;0;1;0;2;2147483647;0;2147483647;2147483647;4;14;1;0;0;0;1;0;3;0;3;2;2147483647;2147483647
1;12;2147483647;3;13;2147483647;5;2147483647;12;4;0;0;0;1;2147483647;1;1;3;2147483647;3;2147483647;0;0;2147483647;1;16;2;1;0;2147483647;0;2;0;1;0;4;15;2147483647;3;1;0;16;1;0;1;4;0;1;2;1;0;0;1;1;1;0;2147483647;0;3;1;0;0;0;2147483647;3;0;0;2147483647;0;2;1;15;0;1;1;0;3;2;2147483647;4;0;1;0;4;11;1;0;1;0;1;2147483647;0;2147483647;1;4;15;1;0;0;0;0;0;1;0;2;3;0;2147483647
1;12;2147483647;3;15;1;10;2147483647;4;2;0;1;1;1;1;1;0;3;0;3;2147483647;0;0;2147483647;3;16;4;1;0;1;0;0;0;0;0;12;10;0;1;3;2;16;0;0;1;4;3;1;0;1;0;0;1;2147483647;0;0;2147483647;0;1;0;0;0;0;0;1;0;0;2147483647;1;3;2;15;0;1;1;0;1;1;1;4;0;1;1;2;6;1;2147483647;1;2147483647;3;2147483647;1;0;2147483647;4;13;0;2147483647;3;1;0;0;6;0;4;2;0;2147483647
1;12;2147483647;3;14;2147483647;7;2147483647;8;3;0;0;0;1;2147483647;1;0;3;2147483647;3;2147483647;0;0;2147483647;2;16;3;1;1;2147483647;0;1;0;0;0;8;13;2147483647;2;2;1;16;1;0;1;4;0;2;1;1;0;0;1;3;1;0;2147483647;2147483647;2;0;0;0;0;0;2;0;0;2147483647;0;3;2;15;0;1;1;0;2;1;2147483647;4;0;1;0;3;9;1;0;1;0;2;2147483647;0;2147483647;2147483647;4;14;1;0;0;0;1;0;3;0;3;2;2147483647;2147483647
1;12;2147483647;3;14;0;7;2147483647;8;3;0;0;0;0;2147483647;1;0;3;2147483647;3;2147483647;0;1;2147483647;2;16;3;1;1;2147483647;0;1;0;0;0;8;13;1;2;1;1;16;1;0;1;4;0;2;2;0;2147483647;0;0;3;1;0;0;2147483647;3;0;0;0;2;0;3;0;0;2147483647;0;3;2;15;0;1;1;1;2;1;0;4;2147483647;1;0;3;9;1;0;1;0;2;2147483647;0;2147483647;2147483647;4;14;1;0;0;0;1;0;3;0;2;2;2147483647;2147483647
2;12;2147483647;2;14;1;6;2147483647;8;4;0;1;1;1;2;1;1;2;0;3;2147483647;0;0;2147483647;2;16;4;2;0;2147483647;0;0;0;1;0;8;14;0;2;2;0;16;0;0;1;4;1;2;1;1;0;0;1;2;0;0;2147483647;0;2;1;0;0;0;2147483647;2;0;0;2147483647;1;2;1;15;0;1;1;0;2;2;1;4;0;1;0;4;10;1;1;1;2147483647;2;2147483647;1;0;2147483647;4;14;0;2147483647;1;0;0;0;2;0;3;3;0;2147483647
1;12;2147483647;3;15;0;10;2147483647;4;2;0;1;0;0;1;1;0;3;2147483647;3;2147483647;0;1;2147483647;3;16;4;1;0;1;0;0;0;0;0;12;10;1;1;2;2;16;1;0;1;4;0;1;1;0;3;1;0;2147483647;1;0;0;0;2;0;0;0;3;0;2;0;0;2147483647;0;4;3;15;0;1;1;1;1;0;0;4;2147483647;1;0;2;6;1;0;1;0;3;2147483647;1;2147483647;2147483647;4;13;1;2147483647;3;0;0;0;6;1;3;1;0;2147483647
1;12;1;3;15;0;7;1;4;2;0;0;1;0;1;1;0;2;0;3;1;0;1;2147483647;3;15;3;1;0;1;0;0;4;0;0;8;13;0;1;1;1;16;0;0;1;3;1;1;1;0;1;0;0;2147483647;0;1;0;0;3;0;0;0;1;0;2;1;0;0;1;2;1;15;0;2;1;1;2;1;0;4;2147483647;1;0;3;9;0;2147483647;0;2147483647;2;2147483647;1;0;2147483647;4;14;0;2147483647;2;0;0;0;3;0;2;2;0;2147483647
1;12;1;3;14;0;5;1;8;3;1;0;0;0;2147483647;1;1;2;2147483647;3;1;0;1;2147483647;2;15;2;1;0;2147483647;0;1;4;1;0;4;15;1;2;0;0;16;1;0;1;3;0;1;2;0;2147483647;0;0;1;1;1;0;0;4;0;0;0;1;2147483647;3;1;0;0;0;2;1;15;0;2;1;1;3;1;0;4;2147483647;1;0;4;11;0;0;0;0;1;2147483647;0;1;1;4;15;1;0;0;0;0;0;1;0;1;2;0;2147483647
1;12;1;3;15;2147483647;7;1;4;2;0;0;0;1;1;0;0;2;2147483647;3;0;0;1;0;3;15;3;1;0;1;0;0;4;0;0;8;13;2147483647;1;2;1;16;1;0;1;3;2147483647;1;1;0;2147483647;0;1;2147483647;1;1;2147483647;0;2;0;0;1;2147483647;0;2;0;0;0;1;3;2;15;0;1;1;0;2;1;2147483647;4;2147483647;1;0;3;9;1;2147483647;0;2147483647;2;2147483647;1;2147483647;2147483647;4;14;0;2147483647;2;0;0;0;3;0;3;2;0;2147483647
1;12;2147483647;3;14;0;7;2147483647;8;3;0;0;0;0;2147483647;1;0;3;2147483647;3;2147483647;0;1;2147483647;2;16;3;1;1;2147483647;0;1;0;0;0;8;13;1;2;1;1;16;1;0;1;4;0;2;2;0;2147483647;0;0;3;1;0;0;2147483647;3;0;0;0;2;0;3;0;0;2147483647;0;3;2;15;0;1;1;1;2;1;0;4;2147483647;1;0;3;9;1;0;1;0;2;2147483647;0;2147483647;2147483647;4;14;1;0;0;0;1;0;3;0;2;2;2147483647;2147483647
1;12;2147483647;3;13;0;5;2147483647;12;4;1;0;0;0;2147483647;1;1;3;2147483647;3;2147483647;0;1;2147483647;1;16;2;1;0;2147483647;1;2;0;1;0;4;15;1;3;0;0;16;1;0;1;4;0;1;3;0;2147483647;0;0;1;1;0;0;0;4;1;0;0;1;2147483647;4;0;0;2147483647;0;2;1;15;0;1;1;1;3;2;0;4;2147483647;1;0;4;11;1;0;1;0;1;2147483647;0;1;1;4;15;1;0;0;0;0;0;1;0;1;3;0;2147483647
